row,col
46,15
53,92
86,19
64,23
51,50
23,67
96,85
77,88
99,84
48,37
99,68
12,57
61,61
73,48
49,51
98,82
6,99
46,1
48,12
20,18
91,78
24,65
71,46
25,44
38,62
85,74
66,16
85,24
91,7
3,57
33,46
99,45
70,3
56,28
25,89
1,47
76,20
44,14
29,43
99,99
42,12
36,99
49,37
91,42
54,84
56,20
92,99
47,46
89,99
61,14
99,41
7,16
32,56
78,97
92,61
75,48
99,99
24,59
23,41
18,5
99,82
46,27
7,19
9,82
33,94
78,62
66,23
85,12
67,93
84,0
77,99
46,46
41,18
2,15
14,84
34,47
10,28
71,86
34,6
99,51
99,79
2,54
83,25
63,34
38,74
95,70
25,5
99,57
76,54
88,65
20,21
15,5
33,76
99,42
99,79
82,14
62,65
25,43
46,66
62,27
