row,col
25,52
3,10
41,87
39,16
42,77
27,33
55,80
50,98
55,68
36,33
74,68
72,19
16,69
65,54
37,62
1,42
6,31
11,30
84,1
74,24
95,43
49,88
6,15
79,63
0,3
26,97
43,62
95,3
7,11
23,89
61,98
6,45
88,26
51,98
7,82
69,86
50,4
91,73
25,47
47,33
13,76
96,78
25,66
96,40
48,33
82,88
63,68
39,49
2,6
84,2
9,89
10,56
56,33
63,70
94,39
8,63
62,41
69,96
71,10
39,87
99,1
42,33
27,83
60,85
29,42
42,0
30,78
20,33
37,4
29,76
7,72
96,91
50,33
51,61
70,21
15,21
35,42
81,16
23,86
20,16
3,91
46,64
66,75
71,22
87,0
66,85
48,50
67,95
94,72
93,92
68,57
37,45
27,39
44,16
8,55
38,67
81,38
90,59
75,13
53,95
82,31
54,71
42,62
89,8
41,78
50,56
41,38
78,50
56,39
2,31
