
=== Static  K=20, L=9, G=6  (G+L)*M/K=3.00 ===
  [ 1/50] seed=2  LB-BVF: mr=79.3 jfi=0.566
  [ 2/50] seed=4  LB-BVF: mr=93.0 jfi=0.963
  [ 3/50] seed=7  LB-BVF: mr=91.5 jfi=0.873
  [ 4/50] seed=6  LB-BVF: mr=100.9 jfi=0.767
  [ 5/50] seed=3  LB-BVF: mr=97.2 jfi=0.873
  [ 6/50] seed=1  LB-BVF: mr=94.6 jfi=0.888
  [ 7/50] seed=5  LB-BVF: mr=87.7 jfi=0.918
  [ 8/50] seed=8  LB-BVF: mr=94.9 jfi=0.918
  [ 9/50] seed=9  LB-BVF: mr=94.9 jfi=0.907
  [10/50] seed=10  LB-BVF: mr=79.3 jfi=0.876
  [11/50] seed=11  LB-BVF: mr=82.7 jfi=0.929
  [12/50] seed=14  LB-BVF: mr=85.8 jfi=0.819
  [13/50] seed=13  LB-BVF: mr=92.3 jfi=0.979
  [14/50] seed=12  LB-BVF: mr=81.2 jfi=0.965
  [15/50] seed=16  LB-BVF: mr=73.2 jfi=0.834
  [16/50] seed=15  LB-BVF: mr=82.0 jfi=0.940
  [17/50] seed=17  LB-BVF: mr=75.6 jfi=0.905
  [18/50] seed=18  LB-BVF: mr=83.0 jfi=0.934
  [19/50] seed=19  LB-BVF: mr=61.6 jfi=0.844
  [20/50] seed=20  LB-BVF: mr=94.1 jfi=0.834
  [21/50] seed=21  LB-BVF: mr=100.0 jfi=0.920
  [22/50] seed=23  LB-BVF: mr=75.7 jfi=0.943
  [23/50] seed=22  LB-BVF: mr=76.5 jfi=0.925
  [24/50] seed=24  LB-BVF: mr=78.0 jfi=0.982
  [25/50] seed=25  LB-BVF: mr=85.0 jfi=0.938
  [26/50] seed=27  LB-BVF: mr=77.7 jfi=0.927
  [27/50] seed=26  LB-BVF: mr=98.1 jfi=0.944
  [28/50] seed=31  LB-BVF: mr=74.7 jfi=0.961
  [29/50] seed=28  LB-BVF: mr=78.9 jfi=0.864
  [30/50] seed=29  LB-BVF: mr=87.0 jfi=0.959
  [31/50] seed=30  LB-BVF: mr=86.4 jfi=0.841
